order_id,customer_id,product_id,quantity,payment_method,order_date
1,476,7,3,Net Banking,2025-06-05
2,100,14,3,Net Banking,2024-12-07
3,24,2,3,Cash,2026-04-01
4,918,10,4,UPI,2024-10-25
5,530,14,4,UPI,2025-08-29
6,180,4,1,Net Banking,2025-10-12
7,626,15,1,Net Banking,2026-06-13
8,460,14,1,Net Banking,2025-09-07
9,730,3,4,Card,2025-10-26
10,405,8,2,Net Banking,2024-11-18
11,221,5,1,Net Banking,2025-02-27
12,494,16,5,Net Banking,2024-10-26
13,639,3,1,Card,2024-12-23
14,823,15,1,Card,2025-07-28
15,477,14,4,Card,2026-01-11
16,60,14,3,Cash,2025-12-31
17,461,2,3,Cash,2024-09-03
18,124,15,4,Card,2025-04-12
19,138,3,3,Card,2025-12-18
20,902,2,1,Net Banking,2024-08-07
21,400,9,1,Net Banking,2025-04-11
22,125,14,4,Card,2025-03-05
23,208,4,1,UPI,2025-03-20
24,1,10,1,UPI,2025-11-19
25,298,14,4,Net Banking,2024-08-26
26,126,11,2,UPI,2025-07-01
27,555,1,1,Cash,2025-10-28
28,336,6,5,UPI,2024-11-16
29,625,8,3,Net Banking,2026-02-27
30,661,9,5,Net Banking,2025-06-19
31,276,2,3,Cash,2026-02-08
32,782,3,2,Cash,2025-11-21
33,658,10,5,UPI,2025-02-10
34,489,7,4,UPI,2024-08-13
35,709,13,5,Net Banking,2026-04-02
36,691,1,5,Cash,2025-03-02
37,482,6,1,UPI,2025-02-12
38,973,13,2,Card,2025-11-06
39,319,2,2,Card,2025-08-21
40,252,10,5,Cash,2024-08-28
41,878,9,3,Card,2026-05-31
42,480,7,5,Net Banking,2025-12-14
43,147,1,1,Cash,2024-11-07
44,888,10,5,Net Banking,2026-02-14
45,615,10,1,UPI,2026-03-10
46,256,12,5,Card,2025-06-15
47,9,6,5,Net Banking,2024-09-11
48,534,3,1,UPI,2026-03-26
49,196,2,4,Cash,2026-06-06
50,288,12,4,Net Banking,2026-01-15
51,669,11,1,UPI,2025-10-21
52,16,9,4,Net Banking,2025-04-15
53,635,2,1,Cash,2025-09-08
54,465,6,3,UPI,2025-10-01
55,442,13,1,Net Banking,2024-11-05
56,358,4,4,Cash,2025-06-09
57,629,7,1,Card,2026-03-09
58,356,7,3,UPI,2025-08-04
59,511,13,1,Net Banking,2025-09-26
60,952,16,2,UPI,2025-06-19
61,690,4,4,Cash,2025-11-15
62,696,10,4,Net Banking,2026-05-20
63,84,16,5,Card,2025-11-21
64,753,4,5,Cash,2026-05-18
65,179,9,5,Card,2025-07-19
66,468,2,4,Net Banking,2026-05-18
67,405,15,3,UPI,2025-03-14
68,832,1,5,UPI,2026-02-07
69,685,4,5,UPI,2024-10-31
70,731,1,1,Net Banking,2025-03-24
71,963,2,4,Cash,2024-09-30
72,438,8,3,Card,2025-01-12
73,266,13,2,UPI,2024-12-21
74,718,5,2,UPI,2024-10-20
75,771,1,5,UPI,2025-12-01
76,571,11,2,Card,2025-10-31
77,707,6,1,UPI,2026-05-06
78,863,12,3,Net Banking,2025-09-16
79,807,10,3,Card,2026-05-15
80,625,9,3,UPI,2025-11-30
81,770,6,1,UPI,2024-10-27
82,233,13,1,Net Banking,2024-11-20
83,541,16,1,Card,2025-10-17
84,972,4,3,UPI,2025-06-08
85,331,14,2,UPI,2026-04-11
86,716,6,1,Card,2024-10-26
87,566,6,3,Cash,2025-10-20
