product_id,product_name,category,cost_price,selling_price,stock
1,Sports Product 1,Sports,1906,2416,342
2,Electronics Product 2,Electronics,1129,2415,400
3,Sports Product 3,Sports,2021,3214,418
4,Fashion Product 4,Fashion,2678,4434,362
5,Books Product 5,Books,1016,1949,96
6,Electronics Product 6,Electronics,2652,4516,120
7,Fashion Product 7,Fashion,4556,5529,20
8,Electronics Product 8,Electronics,4164,4886,453
9,Books Product 9,Books,4895,6571,103
10,Electronics Product 10,Electronics,503,2481,217
11,Sports Product 11,Sports,2543,4335,289
12,Sports Product 12,Sports,4542,6107,275
13,Books Product 13,Books,875,1505,197
14,Sports Product 14,Sports,2888,4237,35
15,Sports Product 15,Sports,2308,2659,440
16,Electronics Product 16,Electronics,873,1654,322
17,Fashion Product 17,Fashion,2703,4474,325
18,Sports Product 18,Sports,3114,4858,213
19,Books Product 19,Books,726,1684,168
20,Home Product 20,Home,3605,4345,460
21,Electronics Product 21,Electronics,2632,3296,429
22,Fashion Product 22,Fashion,4543,5036,166
23,Fashion Product 23,Fashion,4686,5637,476
24,Home Product 24,Home,2118,3621,327
25,Electronics Product 25,Electronics,3358,5254,276
26,Electronics Product 26,Electronics,1331,2303,266
27,Fashion Product 27,Fashion,589,1718,134
28,Electronics Product 28,Electronics,4944,5670,146
29,Fashion Product 29,Fashion,2403,3388,302
30,Fashion Product 30,Fashion,3682,5187,221
31,Fashion Product 31,Fashion,3868,5263,115
32,Home Product 32,Home,920,2464,237
33,Fashion Product 33,Fashion,2663,2932,159
34,Electronics Product 34,Electronics,888,1843,378
35,Electronics Product 35,Electronics,1248,2312,223
36,Home Product 36,Home,4414,5051,159
37,Electronics Product 37,Electronics,3258,4949,464
38,Fashion Product 38,Fashion,3676,5676,28
39,Sports Product 39,Sports,3768,4862,88
40,Home Product 40,Home,2176,3633,241
41,Fashion Product 41,Fashion,469,1479,58
42,Electronics Product 42,Electronics,539,2249,419
43,Fashion Product 43,Fashion,3432,5349,87
44,Home Product 44,Home,2049,3523,386
45,Electronics Product 45,Electronics,3042,3998,289
46,Books Product 46,Books,920,2438,138
47,Home Product 47,Home,2972,4818,194
48,Electronics Product 48,Electronics,1568,1978,455
49,Sports Product 49,Sports,2792,3339,175
50,Books Product 50,Books,3434,3820,407
51,Home Product 51,Home,1776,2669,396
52,Fashion Product 52,Fashion,1674,2054,299
53,Books Product 53,Books,3717,5219,450
54,Home Product 54,Home,1614,2677,406
55,Electronics Product 55,Electronics,735,1080,198
56,Home Product 56,Home,4214,5014,33
57,Fashion Product 57,Fashion,1945,2915,420
58,Books Product 58,Books,3683,5090,336
59,Sports Product 59,Sports,1976,3890,67
60,Sports Product 60,Sports,494,1990,167
61,Fashion Product 61,Fashion,3277,3578,82
62,Home Product 62,Home,3824,4899,278
63,Home Product 63,Home,673,1646,174
64,Sports Product 64,Sports,1621,3210,422
65,Sports Product 65,Sports,213,2065,271
66,Sports Product 66,Sports,3915,4360,483
67,Electronics Product 67,Electronics,1637,2810,192
68,Electronics Product 68,Electronics,682,2303,361
69,Home Product 69,Home,2542,4408,317
70,Fashion Product 70,Fashion,1664,2526,253
71,Home Product 71,Home,550,1136,71
72,Electronics Product 72,Electronics,2941,3867,382
73,Fashion Product 73,Fashion,442,2162,264
74,Fashion Product 74,Fashion,3285,4429,61
75,Books Product 75,Books,2045,2177,70
76,Electronics Product 76,Electronics,4256,4383,129
77,Books Product 77,Books,3148,3275,63
78,Books Product 78,Books,1272,1556,163
79,Fashion Product 79,Fashion,3819,4895,487
80,Fashion Product 80,Fashion,3039,3518,160
81,Electronics Product 81,Electronics,3839,4049,368
82,Sports Product 82,Sports,2157,4121,247
83,Home Product 83,Home,2322,3904,138
84,Home Product 84,Home,2174,3125,240
85,Sports Product 85,Sports,867,2618,388
86,Sports Product 86,Sports,4291,5001,259
87,Fashion Product 87,Fashion,2302,3744,278
88,Home Product 88,Home,1473,2384,157
89,Home Product 89,Home,3952,5425,498
90,Sports Product 90,Sports,1489,2067,89
91,Fashion Product 91,Fashion,146,1109,197
92,Home Product 92,Home,3591,4684,109
93,Fashion Product 93,Fashion,4528,4704,299
94,Books Product 94,Books,4277,6139,217
95,Fashion Product 95,Fashion,491,2263,446
96,Sports Product 96,Sports,2631,3023,285
97,Fashion Product 97,Fashion,2347,4335,226
98,Electronics Product 98,Electronics,276,1734,340
99,Books Product 99,Books,4204,5351,329
100,Sports Product 100,Sports,858,1462,472
